German,English
Ich,I
ist,is
ich,I
nicht,not
Sie,She
du,of
das,the
die,the
es,is
und,and
der,the
zu,to
sie,she
Das,The
ein,a
in,in
wir,we
Du,Of
mir,me
mit,with
Was,Was
den,it
mich,me
was,was
auf,on
dass,that
er,is
eine,one
Es,Is
hat,has
Wir,We
Und,And
so,so
sind,are
von,from
dich,you
war,war
haben,have
für,for
Ja,And
hier,here
an,an
habe,have
Er,Is
bin,bin
wie,How
noch,still
dir,you
uns,us
sich,itself
Die,The
nur,only
einen,a
Nein,No
dem,dem
ihn,him
auch,also
hast,hast
sein,be
ihr,her
da,and
aus,out of
kann,can
aber,but
Aber,But
schon,already
wenn,if
wird,becomes
um,one
Wie,How
als,as
bist,are
im,in the
mal,just
doch,but
gut,gut
meine,mine
jetzt,now
weiß,white
Wenn,If
werden,become
Der,The
nach,after
ja,and
Oh,Oh
oder,or
dann,then
will,will
mein,my
mehr,more
keine,no
etwas,something
alles,everything
muss,must
immer,always
nichts,nothing
man,man
wieder,again
bei,at
hab,method
machen,make
vor,before
Mann,Mann
ihm,him
einem,a
tun,again
zum,for the
können,can
sagen,say
werde,become
denn,because
Ist,Is
Ein,A
Warum,Why
einer,one
gehen,go
sehen,see
sehr,very
geht,goes
alle,all
über,above
müssen,must
diese,this
einfach,simply
euch,you
des,of the
nie,NO
Also,Also
Wo,Where
los,the
Zeit,Time
Ihnen,Them
gibt,gives
wirklich,really
Hey,Hey
Danke,Thanks
deine,your
würde,would
soll,should
Da,And
hatte,had
Hier,Here
wissen,knowledge
bitte,please
viel,much
Dann,Then
So,So
gesagt,said
Ihr,Her
am,am
kein,no
Komm,Come on
Wer,Who
zurück,back
wurde,became
In,In
wollte,wanted
Frau,Woman
Leben,Life
wäre,were
wo,where
damit,with it
Nicht,Not
Gott,good
Leute,People
kannst,can
heute,today
meinen,mean
dieser,this
dein,your
kommt,comes
kommen,come
willst,want
Na,Already
wollen,want
sicher,secure
ganz,quite
Jetzt,Now
Mein,My
Mr,Mr
also,also
zur,to
Hast,Hast
Gut,Gut
hätte,would have
weil,because
tut,Tut
Hallo,Hello
Okay,Okay
macht,might
waren,were
bis,until
Vielleicht,Perhaps
könnte,could
Eine,One
Bitte,Please
weg,road
seine,his
lassen,let
Vater,Father
gesehen,seen
Nun,Nun
gerade,straight
Alles,Everything
glaube,believe
Tag,Tag
ab,ab
Geld,Money
gemacht,made
nein,no
Sir,Sir
sollte,should
sagte,said
keinen,none
durch,through
zwei,two
diesen,this
passiert,happened
wohl,probably
vielleicht,perhaps
ihre,her
Mutter,Mother
reden,rode
anderen,others
dachte,thought
daß,that
möchte,want
wirst,will
gehört,heard
weißt,know
Keine,No
raus,out
Meine,Mine
paar,pair
besser,better
ob,at
her,her
musst,must
Ordnung,Order
meiner,mine
klar,clear
ihnen,them
Los,The
diesem,this
meinem,my
lange,long
Lass,Lass
dieses,this
helfen,help
unsere,our
Weg,Road
selbst,himself
Nur,Only
finden,find
Mal,Just
jemand,someone
denke,think
Ach,But
Nacht,Night
genau,Exactly
gar,even
sagt,says
Welt,World
Auf,On
Mädchen,Girl
ins,ins
hin,don't
vom,from the
schön,nice
warum,Why
weiter,further
Leid,Sorrow
gleich,even
wer,who
Man,Man
ohne,without
Menschen,People
deinen,your
leid,sorrow
Wieso,How come
dort,there
Als,If
Hause,home
sollten,should
davon,of that
zusammen,together
geben,give
Ok,Ok
Hör,Hear
machst,do
Freund,Friend
richtig,correct
Angst,Angst
Bist,Are
Tut,Tut
Mit,With
viele,many
sieht,sees
Haus,House
tot,to
sollen,should
